tract_id,population,county,zip,location,lon,lat,ces_score,ces_percentile,percentile_range,dac_category,pollution_burden_pctl,pop_char_pctl
6037121222,5139,Los Angeles,91352,Los Angeles,-118.3919494,34.2321411,68.6459687537103,98.7897125567322,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.0584940883634,90.7337367624811
6037185320,2991,Los Angeles,90065,Los Angeles,-118.2242419,34.0887194,68.5682285799057,98.7771053958649,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,98.4816428126945,89.409984871407
6037540000,7139,Los Angeles,90262,Lynwood,-118.1810628,33.9220335,68.4743760166138,98.7644982349975,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,97.3242065961419,92.5491679273828
6037120010,2704,Los Angeles,91402,Los Angeles,-118.4622655,34.2191995,68.4345230332911,98.7392839132627,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,94.6235220908525,96.7095310136157
6037404703,3110,Los Angeles,91706,Baldwin Park,-117.9903099,34.0641759,68.4141892417477,98.7266767523954,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.7013067828251,81.2153303076147
6037240200,5159,Los Angeles,90003,Los Angeles,-118.2761415,33.9560337,68.3319677179195,98.714069591528,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,90.6658369632856,99.1805345436208
6037241120,5146,Los Angeles,90061,Los Angeles,-118.2768346,33.9364442,68.2626445032372,98.7014624306606,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,89.3714996888612,99.4704992435703
6037242100,2852,Los Angeles,90002,Los Angeles,-118.2336329,33.945396,68.2386095949594,98.6888552697932,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,92.9558182949595,98.0963187090267
6037570202,6124,Los Angeles,90805,Long Beach,-118.1785185,33.8794113,68.1992647571599,98.6762481089259,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,99.2781580584941,84.3923348461926
6037121900,3761,Los Angeles,91352,Los Angeles,-118.3831998,34.217858,68.1779766748769,98.6636409480585,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,96.5650280024891,94.0746343923348
