date,ffk_rain_station,fld_rainfall_amount
2023-10-14,8Q3,0.35
2023-10-13,VTU,0
2023-10-13,STS,0
2023-10-13,SRU,0
2023-10-13,SNA,0
2023-10-13,SMX,0
2023-10-13,SFOC,0
2023-10-13,SBA,0
2023-10-13,SAN,0
2023-10-13,OXR,0
2023-10-13,NFG,0
2023-10-13,MQO,0
2023-10-13,LGB,0
2023-10-13,LAX,0
2023-10-13,EKA,0
2023-10-13,DEMX,0
2023-10-13,CEC,0
2023-10-13,CAPS,0
2023-10-13,CADR,0
2023-10-13,8Q3,0
2023-10-12,VTU,0
2023-10-12,STS,0
2023-10-12,SRU,0
2023-10-12,SNA,0
2023-10-12,SMX,0
2023-10-12,SFOC,0
2023-10-12,SBA,0
2023-10-12,SAN,0
2023-10-12,OXR,0
2023-10-12,NFG,0
2023-10-12,MQO,0
2023-10-12,LGB,0
2023-10-12,LAX,0
2023-10-12,EKA,0
2023-10-12,DEMX,0
2023-10-12,CEC,0.18
2023-10-12,CAPS,0
2023-10-12,CADR,0
2023-10-12,8Q3,0
2023-10-11,VTU,0
2023-10-11,STS,0
2023-10-11,SRU,0.01
2023-10-11,SNA,0
2023-10-11,SMX,0
2023-10-11,SFOC,0.01
2023-10-11,SBA,0
2023-10-11,SAN,0.01
2023-10-11,OXR,0
2023-10-11,NFG,0.02
2023-10-11,MQO,0
2023-10-11,LGB,0
2023-10-11,LAX,0
2023-10-11,EKA,0.45
2023-10-11,DEMX,0
2023-10-11,CEC,0.63
2023-10-11,CAPS,0
2023-10-11,CADR,0.02
2023-10-11,8Q3,0.01
2023-10-10,VTU,0
2023-10-10,STS,0.03
2023-10-10,SRU,0
2023-10-10,SNA,0.01
2023-10-10,SMX,0
2023-10-10,SFOC,0.05
2023-10-10,SBA,0
2023-10-10,SAN,0
2023-10-10,OXR,0
2023-10-10,NFG,0
2023-10-10,MQO,0
2023-10-10,LGB,0.01
2023-10-10,LAX,0
2023-10-10,EKA,0.71
2023-10-10,DEMX,0
2023-10-10,CEC,0.63
2023-10-10,CAPS,0
2023-10-10,CADR,0
2023-10-10,8Q3,0.35
2023-10-09,VTU,0
2023-10-09,STS,0
2023-10-09,SRU,0
2023-10-09,SNA,0
2023-10-09,SMX,0
2023-10-09,SFOC,0
2023-10-09,SBA,0
2023-10-09,SAN,0
2023-10-09,OXR,0
2023-10-09,NFG,0
2023-10-09,MQO,0
2023-10-09,LGB,0
2023-10-09,LAX,0
2023-10-09,EKA,0
2023-10-09,DEMX,0
2023-10-09,CEC,0
2023-10-09,CAPS,0
2023-10-09,CADR,0
2023-10-09,8Q3,0
2023-10-08,VTU,0.01
2023-10-08,STS,0
2023-10-08,SRU,0.01
2023-10-08,SNA,0
2023-10-08,SMX,0
2023-10-08,SFOC,0
2023-10-08,SBA,0
2023-10-08,SAN,0.01
2023-10-08,OXR,0
2023-10-08,NFG,0
2023-10-08,MQO,0
2023-10-08,LGB,0
2023-10-08,LAX,0.01
2023-10-08,EKA,0.01
2023-10-08,DEMX,0
2023-10-08,CEC,0.01
2023-10-08,CAPS,0
2023-10-08,CADR,0
2023-10-08,8Q3,0
2023-10-07,VTU,0
2023-10-07,STS,0
2023-10-07,SRU,0
2023-10-07,SNA,0
2023-10-07,SMX,0
2023-10-07,SFOC,0
2023-10-07,SBA,0
2023-10-07,SAN,0
2023-10-07,OXR,0
2023-10-07,NFG,0
2023-10-07,MQO,0
2023-10-07,LGB,0
2023-10-07,LAX,0
2023-10-07,EKA,0
2023-10-07,DEMX,0
2023-10-07,CEC,0
2023-10-07,CAPS,0
2023-10-07,CADR,0
2023-10-07,8Q3,0
2023-10-06,VTU,0
2023-10-06,STS,0
2023-10-06,SRU,0
2023-10-06,SNA,0
2023-10-06,SMX,0
2023-10-06,SFOC,0
2023-10-06,SBA,0
2023-10-06,SAN,0
2023-10-06,OXR,0
2023-10-06,NFG,0
2023-10-06,MQO,0
2023-10-06,LGB,0
2023-10-06,LAX,0
2023-10-06,EKA,0
2023-10-06,DEMX,0
2023-10-06,CEC,0
2023-10-06,CAPS,0
2023-10-06,CADR,0
2023-10-06,8Q3,0
2023-10-05,VTU,0
2023-10-05,STS,0
2023-10-05,SRU,0
2023-10-05,SNA,0
2023-10-05,SMX,0
2023-10-05,SFOC,0
2023-10-05,SBA,0
2023-10-05,SAN,0
2023-10-05,OXR,0
2023-10-05,NFG,0
2023-10-05,MQO,0
2023-10-05,LGB,0
2023-10-05,LAX,0
2023-10-05,EKA,0
2023-10-05,DEMX,0
2023-10-05,CEC,0
2023-10-05,CAPS,0
2023-10-05,CADR,0
2023-10-05,8Q3,0
2023-10-04,VTU,0
2023-10-04,STS,0
2023-10-04,SRU,0
2023-10-04,SNA,0
2023-10-04,SMX,0
2023-10-04,SFOC,0
2023-10-04,SBA,0
2023-10-04,SAN,0
2023-10-04,OXR,0
2023-10-04,NFG,0
2023-10-04,MQO,0
2023-10-04,LGB,0
2023-10-04,LAX,0
2023-10-04,EKA,0.01
2023-10-04,DEMX,0
2023-10-04,CEC,0
2023-10-04,CAPS,0
2023-10-04,CADR,0
2023-10-04,8Q3,0
2023-10-03,VTU,0
2023-10-03,STS,0
2023-10-03,SRU,0
2023-10-03,SNA,0
2023-10-03,SMX,0
2023-10-03,SFOC,0
2023-10-03,SBA,0
2023-10-03,SAN,0
2023-10-03,OXR,0
2023-10-03,NFG,0
2023-10-03,MQO,0
2023-10-03,LGB,0
2023-10-03,LAX,0
2023-10-03,EKA,0.03
2023-10-03,DEMX,0
2023-10-03,CEC,0.14
2023-10-03,CAPS,0
2023-10-03,CADR,0.01
2023-10-03,8Q3,0
2023-10-02,VTU,0
2023-10-02,STS,0
2023-10-02,SRU,0
2023-10-02,SNA,0.08
2023-10-02,SMX,0.01
2023-10-02,SFOC,0
2023-10-02,SBA,0
2023-10-02,SAN,0
2023-10-02,OXR,0
2023-10-02,NFG,0
2023-10-02,MQO,0
2023-10-02,LGB,0
2023-10-02,LAX,0
2023-10-02,EKA,0
2023-10-02,DEMX,0
2023-10-02,CEC,0
2023-10-02,CAPS,0
2023-10-02,CADR,0
2023-10-02,8Q3,0
2023-10-01,VTU,0
2023-10-01,STS,0.05
2023-10-01,SRU,0
2023-10-01,SNA,0.04
2023-10-01,SMX,0.08
2023-10-01,SFOC,0.01
2023-10-01,SBA,0
2023-10-01,SAN,0.01
2023-10-01,OXR,0
2023-10-01,NFG,0.06
2023-10-01,MQO,0
2023-10-01,LGB,0.02
2023-10-01,LAX,0
2023-10-01,EKA,0
2023-10-01,DEMX,0.02
2023-10-01,CEC,0
2023-10-01,CAPS,0.02
2023-10-01,CADR,0
2023-10-01,8Q3,0
2023-09-30,VTU,0
2023-09-30,STS,0.01
2023-09-30,SRU,0.01
2023-09-30,SNA,0
2023-09-30,SMX,0.01
2023-09-30,SFOC,0.01
2023-09-30,SBA,0
2023-09-30,SAN,0
2023-09-30,OXR,0
2023-09-30,NFG,0
2023-09-30,MQO,0
2023-09-30,LGB,0
2023-09-30,LAX,0
2023-09-30,EKA,0.12
2023-09-30,DEMX,0
2023-09-30,CEC,0.09
2023-09-30,CAPS,0.01
2023-09-30,CADR,0.05
2023-09-30,8Q3,0.04
2023-09-29,VTU,0
2023-09-29,STS,0.01
2023-09-29,SRU,0.01
2023-09-29,SNA,0
2023-09-29,SMX,0.01
2023-09-29,SFOC,0.01
2023-09-29,SBA,0
2023-09-29,SAN,0
2023-09-29,OXR,0
2023-09-29,NFG,0
2023-09-29,MQO,0
2023-09-29,LGB,0
2023-09-29,LAX,0
2023-09-29,EKA,0.12
2023-09-29,DEMX,0
2023-09-29,CEC,0.09
2023-09-29,CAPS,0.01
2023-09-29,CADR,0.05
2023-09-29,8Q3,0.04
2023-09-28,VTU,0
2023-09-28,STS,0
2023-09-28,SRU,0
2023-09-28,SNA,0
2023-09-28,SMX,0
2023-09-28,SFOC,0
2023-09-28,SBA,0
2023-09-28,SAN,0.01
2023-09-28,OXR,0
2023-09-28,NFG,0
2023-09-28,MQO,0
2023-09-28,LGB,0
2023-09-28,LAX,0
2023-09-28,EKA,0.13
2023-09-28,DEMX,0
2023-09-28,CEC,0
2023-09-28,CAPS,0
2023-09-28,CADR,0
2023-09-28,8Q3,0
2023-09-27,VTU,0
2023-09-27,STS,0
2023-09-27,SRU,0
2023-09-27,SNA,0
2023-09-27,SMX,0
2023-09-27,SFOC,0
2023-09-27,SBA,0
2023-09-27,SAN,0
2023-09-27,OXR,0
2023-09-27,NFG,0
2023-09-27,MQO,0
2023-09-27,LGB,0
2023-09-27,LAX,0
2023-09-27,EKA,0.12
2023-09-27,DEMX,0
2023-09-27,CEC,0.33
2023-09-27,CAPS,0
2023-09-27,CADR,0
2023-09-27,8Q3,0
2023-09-26,VTU,0
2023-09-26,STS,0.01
2023-09-26,SRU,0
2023-09-26,SNA,0
2023-09-26,SMX,0
2023-09-26,SFOC,0
2023-09-26,SBA,0
2023-09-26,SAN,0
2023-09-26,OXR,0
2023-09-26,NFG,0
2023-09-26,MQO,0
2023-09-26,LGB,0
2023-09-26,LAX,0
2023-09-26,EKA,2.09
2023-09-26,DEMX,0
2023-09-26,CEC,0.7
2023-09-26,CAPS,0
2023-09-26,CADR,0
2023-09-26,8Q3,0.08
2023-09-25,VTU,0
2023-09-25,STS,0
2023-09-25,SRU,0
2023-09-25,SNA,0
