"Project Name","Latitude","Longitude","Project Footprint (Acres)","Drainage Area (Acres)","Actual Storage Capacity (Acre-feet)","Cumulative Volume Addressed (Acre-feet)","Actual Completion Date","Project Type","Capital Costs ($)","Cumulative O&M Costs ($)"
"Henrietta Basin Expansion",33.844986,-118.37183,NA,NA,NA,95.867546,"11/2/2023","Regional Infiltration Gallery",1300000,20449.89
"Heritage Park",33.799859,-118.168765,NA,NA,NA,0.475145,"4/27/2022","Infiltration Well",3e+06,0
"Historic District Recreational Trails Project",33.865571,-118.090832,NA,NA,NA,2.592652,"4/2/2020","LID Retrofit, Bioretention",1e+05,50000
"Hollydale Regional Park",33.920153,-118.174729,NA,NA,NA,4.53877,"4/8/2020","LID Retrofit, Bioretention",3e+05,6000
"Houghton Park Community Center Renovation Project",33.869674,-118.183557,NA,NA,NA,2.597934,"7/1/2020","LID Retrofit, Bioretention",0,10240
"IBCE East Basin",34.029778,-117.821635,NA,NA,NA,940.654881,"2/1/2017","LID Retrofit, Biofiltration",80330,369210
"IBCE North Basin",34.016679,-117.827977,NA,NA,NA,108.135883,"8/1/2018","LID Retrofit, Biofiltration",55630,38405
"IBCE South Basin",34.009451,-117.825331,NA,NA,NA,29.675678,"8/1/2018","LID Retrofit, Biofiltration",55630,21395
"IBCE West Basin",34.003785,-117.839084,NA,NA,NA,1311.398854,"1/1/2017","LID Retrofit, Biofiltration",143120,144870
"Improvements of Avenue 64 (SD 64)",34.12711,-118.176471,0.01,1.1,0.01,0.12,"12/1/2023","Infiltration Well",2e+05,0
"Improvements of Avenue 64 (SD B)",34.12737,-118.17614,0.01,0.64,0.005,0.1,"12/1/2023","Infiltration Well",2e+05,0
"Infiltration Trench Public Alley - Burbank Blvd/Griffith Park Dr",34.18209,-118.32664,0.08,0.8,0.1,0.23,"2/18/2021","Other (specify)",0,1000
"Joe Miller Field Toilet Rooms",33.97325331,-118.0338122,NA,NA,NA,0.124954,"8/8/2013","LID Retrofit, Bioretention",208000,1500
"Jr Lifeguard Facility",33.7528,-118.1343,NA,NA,NA,0.01689,"6/30/2023","Infiltration Well",2780000,0
"Junipero Beach Concession Building (Phase 1)",33.762746,-118.163635,NA,NA,NA,0.641757,"10/30/2019","LID Retrofit, Bioretention",0,10240
"Junipero Beach-Phase 2 & Granada Beach Concession",33.762279,-118.16308,NA,NA,NA,0.800602,"5/19/2021","LID Retrofit, Bioretention",0,10240
"Junipero Parking Lot Improvements",33.762569,-118.164882,NA,NA,NA,21.12136,"7/30/2015","LID Retrofit, Bioretention",0,10240
"Karmont Avenue and Adella Avenue Stormwater Infiltration Wells Improvement Project - Stormwater Well 1 (Karmont)",33.939621,-118.165875,NA,NA,NA,0.234429,"10/26/2023","Infiltration Well",150000,1000
"Karmont Avenue and Adella Avenue Stormwater Infiltration Wells Improvement Project - Stormwater Well 2 (Adella)",33.938156,-118.178539,NA,NA,NA,0.112843,"10/27/2023","Infiltration Well",150000,1000
"LA River LFD (2nd St & Sante Fe LFD#1, R2-02)",34.04716272,-118.237144,0.1,1710,2.35,3.41,"3/8/2024","Diversion to Sanitary Sewer",4822479,72337
"LA River LFD (Mission Rd, LFD#3, R2-G)",34.05335999,-118.2270232,0.1,2490,2.07,13.2,"3/8/2024","Diversion to Sanitary Sewer",4701210,70518
"LA River LFD (Palmetto, LFD#2, R2-J)",34.04040823,-118.23084,0.1,169,1.22,5.43,"3/8/2024","Diversion to Sanitary Sewer",4285845,64288
"LB-MUST Street Improvements",33.777487,-118.204018,NA,NA,NA,0.40049,"1/20/2021","Green Street, Biofiltration",0,10240
"LCC Sub-Basin 4 Stormwater Capture Facility",33.813749,-118.141306,NA,NA,NA,1347.89591,"9/1/2020","Regional Infiltration Gallery",0,32000
"LOS PALACIOS DRIVE, ET AL",33.992209,-117.911248,NA,NA,NA,0.074453,"3/31/2016","Green Street, Bioretention",7500,3813.7
"LOS PALACIOS DRIVE, ET AL",33.990849,-117.903853,NA,NA,NA,0.074453,"3/31/2016","Green Street, Bioretention",7500,3813.7
"Ladera Linda Community Park Project",33.737923,-118.349043,NA,NA,NA,1.61456,"11/29/2023","LID Retrofit, Biofiltration",13721000,27163.72
"Lakewood Blvd Improvements (Phase 3C): Bioswale",33.956433,-118.112797,NA,NA,NA,9.672871,"6/30/2019","Green Street, Bioretention",0,1578
"Lakewood Blvd Improvements (Phase 3C): Infiltration Basin",33.956257,-118.112003,NA,NA,NA,13.286673,"6/30/2019","Green Street, Bioretention",0,844
"Lankershim Blvd Green Street",34.169677,-118.379049,1,107,0.02,91.17,"6/15/2021","Green Street, Bioretention",3780000,344860
"Las Virgenes Road Green Street Project",34.165649,-118.702627,NA,NA,NA,0.011229,"11/15/2024","Green Street, Biofiltration",5520000,0
"Laurel Canyon Blvd Green Street",34.250605,-118.423473,1,123,0.2,360.36,"6/1/2017","Green Street, Bioretention",3727456,791958
"Legacy Park",34.035357,-118.688505,NA,NA,NA,NA,"10/2/2010","Other - Detention",NA,390000
"Lilita Street and Eve Avenue Storm Drain Improvement Project",33.930118,-118.195876,NA,NA,NA,11.914858,"2/17/2021","Green Street, Bioretention",1236621,39657.25
"Lincoln EH_GS project",33.880962,-118.371171,NA,NA,NA,8.99424,"4/7/2021","Green Street, Bioretention",70000,30000
"Lindero Linear Park",34.159855,-118.790731,NA,NA,NA,3.162703,"9/25/2019","LID Retrofit, Biofiltration",4300000,19500
"Long Beach Civic Center",33.767616,-118.196761,NA,NA,NA,7.034786,"7/1/2019","LID Retrofit, Harvest and Reuse",0,10240
"Long Beach Civic Center (Lincoln Park)",33.76783,-118.194095,NA,NA,NA,0,"9/26/2024","LID Retrofit, Harvest and Reuse",0,0
"Louise Ave Street Improvements",33.921323,-118.18224,NA,NA,NA,0.229948,"5/2/2019","Green Street, Bioretention",0,0
"Lynwood City Hall Annex",33.9265,-118.198747,NA,NA,NA,3.18581,"1/1/2018","LID Retrofit, Bioretention",0,0
"Lynwood Urban Bike Trail",33.91662,-118.189314,NA,NA,NA,2.399542,"12/3/2022","Green Street, Bioretention",0,0
"MAPLEGROVE ST ET AL PLAN A",34.040963,-117.931039,NA,NA,NA,0.083587,"4/20/2015","Green Street, Bioretention",7500,4813.7
"ML-1 RHE Project",33.782589,-118.319286,NA,NA,NA,0,"11/25/2024","Infiltration Well",1861550,0
"Madison EH__GS project",33.875085,-118.368493,NA,NA,NA,2.01607,"4/7/2021","Green Street, Bioretention",37000,30000
"Maine Avenue Complete Street Phase 1A",34.096447,-117.960474,NA,NA,NA,0,"3/8/2019","Green Street, Bioretention",3018466,0
"Maine Avenue Complete Street Phase 1B",34.105008,-117.960581,NA,NA,NA,0,"3/5/2021","Green Street, Bioretention",0,0
"Malibu Road Biofiltration ",34.0303092,-118.7057273,0.015,NA,0.001,NA,"4/24/2023","Green Street",NA,NA
"Manchester Greenway",33.959217,-118.281999,1,3,0.18,21.38,"12/1/2015","Green Street, Biofiltration",850000,109440
"Manhattan Beach Greenbelt Infiltration Project",33.8799,-118.4024,NA,NA,NA,163.634377,"2/20/2013","Regional Infiltration Gallery",777703,134986
"Marcelin Drive Green Street",34.01071,-117.83156,NA,NA,NA,0,"9/1/2020","Green Street, Biofiltration",216000,2565
"Marie Canyon Distributed BMP",34.035448,-118.709819,NA,NA,NA,0,"4/26/2023","Green Street - Biofiltration",NA,NA
"Marie Canyon Treatment Facility",34.031103,-118.711017,NA,NA,NA,NA,"10/1/2007","Regional Treatment Facility",NA,NA
"Marina del Rey Biofiltration in Parking Lot 10",33.98125,-118.459056,NA,NA,NA,7.655132,"10/24/2018","LID Retrofit, Biofiltration",174000,0
"Marina del Rey Bioretention in Parking Lot 45",33.978833,-118.442972,NA,NA,NA,2.23107,"4/1/2020","LID Retrofit, Bioretention",180000,0
"Marina del Rey Lloyd Taber Library Parking Lot Water Quality Enhancement Project",33.982659,-118.443449,NA,NA,NA,2.4631,"12/18/2017","Other (specify)",378000,46505.05
"Marina del Rey Parking Lot 5 Water Quality Enhancement Project",33.982433,-118.44291,NA,NA,NA,13.065948,"1/29/2015","LID Retrofit, Biofiltration",6e+05,20800
"Marina del Rey Parking Lot 7 Water Quality Enhancement Project",33.985182,-118.451707,NA,NA,NA,4.426425,"1/29/2015","LID Retrofit, Bioretention",370000,0
"Marina del Rey Parking Lot 9 Water Quality Enhancement Project",33.982497,-118.456108,NA,NA,NA,6.920693,"12/5/2017","LID Retrofit, Biofiltration",1672000,20800
"Marine Park Parking Lot",33.757599,-118.11997,NA,NA,NA,6.917549,"6/30/2014","LID Retrofit, Bioretention",0,10240
"Market Place Drive at Neil Armstrong Street Filterra Tree Wells",34.037051,-118.09427,0.001,3,0.001,0.39,"6/30/2018","Green Street, Biofiltration",75000,3500
"Marshall Community Park",34.076372,-118.10398,0.01,2.41,0.11,5.95,"11/30/2017","LID Retrofit, Bioretention",0,0
"McCormick and Vineland Green Street Project",34.166015,-118.370549,1,31,0,0,"6/15/2021","Green Street, Bioretention",76500,3491
"McGroarty Lift Station Project",34.096023,-118.1082506,0.003,0.07,0,0,"7/2/2021","LID Retrofit, Bioretention",5498.13,0
"Median and Side Panel Turf Replacement Project",33.920774,-118.072589,NA,NA,NA,6.286775,"10/1/2018","Green Street, Bioretention",70000,48000
"Meneely Alley Project",34.13538,-118.129955,0.14,0.14,0.01,0.89,"1/2/2019","Infiltration Well",71480,0
"Mureau Rd at Mountain View Dr",34.152263,-118.68639,NA,NA,NA,33.818674,"10/25/2018","Green Street, Bioretention",2e+05,140687.6
"Nogales Park Stormwater Capture Project",33.969308,-118.225031,0.8,31.7,0.75,0,"6/27/2024","Infiltration Well",5196000,0
"Oak Station Parking Lot",33.94616,-118.019176,NA,NA,NA,1.573136,"5/1/2017","LID Retrofit, Bioretention",311909,1500
"Orangewood Park Dry Wells and Pervious Pavement",34.064469,-117.947905,NA,NA,NA,31.96465,"1/2/2017","LID Retrofit, Bioretention",250000,0
"Oxford Basin Multi-Use Enhancement Project",33.98553,-118.45523,NA,NA,NA,123.627791,"9/11/2016","Other (specify)",11600000,1390653.2
"PVDN-RHR Detention Basin",33.77663,-118.344341,NA,NA,NA,1.022019,"6/16/2023","Regional Infiltration Gallery",85163,0
"Palm Avenue Improvements Project",33.911096,-118.198808,NA,NA,NA,2.254482,"1/1/2020","Green Street, Bioretention",65000,1200
"Paradise Cove Treatment Facility",34.020555,-118.786867,0.02,NA,NA,NA,"6/28/2010","Regional Treatment Facility",NA,NA
"Paramount Blvd Green Street Project",33.834983,-118.159868,NA,NA,NA,0,"5/13/2020","Green Street, Bioretention",2050000,121881.48
"Paramount Boulevard Urban Renovation Project",33.887226,-118.160014,NA,NA,NA,0,"1/2/2017","Green Street, Bioretention",0,0
"Parking Lot Rehabilitation at Carlton Peterson Park",33.981884,-117.851851,NA,NA,NA,4.274021,"1/18/2016","LID Retrofit, Biofiltration",476362.87,34300
"Parkway Basins Water Quality Improvement Project",34.058842,-117.969177,NA,NA,NA,1.391035,"9/9/2019","Green Street, Bioretention",4000,0
"Parkway Basins Water Quality Improvement Project",34.062038,-117.976883,NA,NA,NA,0.974672,"5/1/2019","Green Street, Bioretention",4000,0
"Parkway Basins Water Quality Improvement Project",33.963723,-118.073121,NA,NA,NA,0.335594,"4/11/2019","Green Street, Bioretention",4000,0
"Parkway Basins Water Quality Improvement Project",33.96317,-118.07204,NA,NA,NA,0.039841,"3/15/2019","Green Street, Bioretention",4000,0
"Parkway Basins Water Quality Improvement Project",33.964129,-118.077589,NA,NA,NA,0.370058,"3/15/2019","Green Street, Bioretention",4000,0
"Parkway Basins Water Quality Improvement Project",33.96467,-118.077193,NA,NA,NA,0.113379,"2/23/2019","Green Street, Bioretention",4000,0
"Parkway Basins Water Quality Improvement Project",33.964521,-118.077247,NA,NA,NA,0.235026,"2/23/2019","Green Street, Bioretention",4000,0
"Pasadena Medical Office Building",34.163964,-118.150673,0.8,0.8,0.04,6.26,"1/2/2013","LID Retrofit, Bioretention",2750000,40000
"Pasadena Water & Power Building at City Public Works Yards",34.162822,-118.157556,1,7,0.4,0.68,"1/2/2013","Other (specify)",1e+06,40000
"Peck Reservoir Replacement Project",33.891453,-118.386725,NA,NA,NA,0.003061,"5/31/2024","Infiltration Well",1e+05,0
"Perry Park _Slauson_GS project",33.869809,-118.370546,NA,NA,NA,0.488744,"4/7/2021","Green Street, Bioretention",21000,30000
"Pico Rivera Regional Bikeway Project (CIP 21280)",33.99223298,-118.0899845,NA,NA,NA,0,"11/8/2024","Green Street, Biofiltration",6914615,0
"Playhouse Park and Parking Lot",34.14503022,-118.1380329,1.04,1.04,0.25,0.46,"7/1/2022","Other (specify)",4250000,69003
"Primrose Park",34.107596,-118.062142,0.02,1.02,0.07,1.43,"4/23/2022","LID Retrofit, Bioretention",2972058,0
"Proposition 84",33.933364,-118.063856,NA,NA,NA,2.257208,"7/1/2017","LID Retrofit, Biofiltration",27160,0
"Proposition 84",33.94414,-118.072684,NA,NA,NA,5.027944,"7/1/2017","LID Retrofit, Biofiltration",27160,0
"Proposition 84 #1",33.808074,-118.163378,NA,NA,NA,4.303072,"6/30/2017","Green Street, Biofiltration",55375,2302
"Proposition 84 #2",33.808,-118.163381,NA,NA,NA,4.303072,"6/30/2017","Green Street, Biofiltration",55375,2302
"Proposition 84 (11077 Eve Ave)",33.930298,-118.19579,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (12308 Edgebrook)",33.90977,-118.182648,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (12337 Edgebrook)",33.908726,-118.182836,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (12501 Edgebrook)",33.907931,-118.18304,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (14335 Pioneer Blvd)",33.900835,-118.082673,NA,NA,NA,4.646354,"7/1/2017","Green Street, Biofiltration",27160,50000
"Proposition 84 (2719 109th St)",33.936265,-118.223046,NA,NA,NA,1.043999,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (2734 E 110th St)",33.935288,-118.222641,NA,NA,NA,1.043999,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (3861 Lilita St)",33.93017,-118.196317,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (3957 Palm Ave)",33.911412,-118.199529,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (3965 Palm Ave)",33.911273,-118.199193,NA,NA,NA,0.96902,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (7740 Milton Ave)",33.971229,-118.039599,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7748 Newlin Ave)",33.970424,-118.04058,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,500
"Proposition 84 (7751 Comstock)",33.971091,-118.038416,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7751 Milton Ave)",33.971108,-118.039599,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7907 Comstock)",33.969154,-118.038468,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7912 Comstock)",33.96908,-118.03847,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7913 Milton Ave)",33.969151,-118.039599,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7921 Newlin Ave)",33.969128,-118.040699,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7939 Comstock)",33.968757,-118.038479,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (7951 Comstock)",33.968489,-118.038912,NA,NA,NA,0.523272,"6/30/2017","Green Street, Bioretention",9035.09,750
"Proposition 84 (Barlin and Cheyenne)",33.913909,-118.144007,NA,NA,NA,4.284326,"6/30/2017","Green Street, Biofiltration",27160,281.6
"Proposition 84 (Bixler and Prichard)",33.908594,-118.151507,NA,NA,NA,4.287077,"6/30/2017","Green Street, Biofiltration",27160,281.6
"Proposition 84 (Clark and Wright #2)",33.910316,-118.186387,NA,NA,NA,4.285102,"6/30/2017","Green Street, Biofiltration",16919.3,0
"Proposition 84 (Clark and Wright)",33.910231,-118.186271,NA,NA,NA,4.285102,"6/30/2017","Green Street, Biofiltration",16919.3,0
"Proposition 84 (Colorado and Alondra)",33.889571,-118.161544,NA,NA,NA,4.287077,"7/1/2017","Green Street, Biofiltration",0,750
"Proposition 84 (Faust and Foster)",33.910055,-118.115066,NA,NA,NA,4.284326,"6/30/2017","Green Street, Biofiltration",27160,281.6
"Proposition 84 (Fernwood and Santa Fe Springs)",33.928129,-118.229872,NA,NA,NA,4.285102,"6/30/2017","Green Street, Biofiltration",16919.3,0
"Proposition 84 (Firestone Blvd)",33.933515,-118.11908,NA,NA,NA,18.389877,"6/30/2017","Green Street, Biofiltration",275547,281.6
"Proposition 84 (Glady and Garfield)",33.932919,-118.167281,NA,NA,NA,4.174393,"7/1/2017","Green Street, Biofiltration",27160,10500
"Proposition 84 (Imperial and Volunteer)",33.917235,-118.068937,NA,NA,NA,6.76522,"7/1/2017","Green Street, Biofiltration",27160,50000
"Proposition 84 (Pangborn and Firestone)",33.930655,-118.113725,NA,NA,NA,4.284326,"6/30/2017","Green Street, Biofiltration",27160,281.6
"Proposition 84 (Santa Fe and 108th St)",33.936884,-118.223123,NA,NA,NA,1.043999,"6/30/2017","Green Street, Bioretention",16919.3,0
"Proposition 84 (State and Independence)",33.958262,-118.211545,NA,NA,NA,4.663241,"7/1/2017","Green Street, Biofiltration",27160,10500
"Proposition 84 (Vermont and Alondra)",33.889493,-118.162867,NA,NA,NA,4.287077,"7/1/2017","Green Street, Biofiltration",0,750
"Proposition 84 - #1",33.995295,-118.094577,NA,NA,NA,5.184853,"6/30/2017","Green Street, Biofiltration",55375.45,200
"Proposition 84 - #2",33.99497,-118.094927,NA,NA,NA,5.184853,"6/30/2017","Green Street, Biofiltration",55375.45,200
"Quincy Jones Green Alley Network",34.0153217,-118.2640149,0.41,4.3,3.6,8.35,"11/30/2022","Green Street, Biofiltration",1092348,32772
"Ramona Gardens Rain Gardens",34.056958,-118.194391,1,7,0.37,33.13,"3/1/2013","Green Street, Bioretention",330000,56118
"Ricardo Lara Linear Park",33.920783,-118.199292,NA,NA,NA,1.216977,"10/31/2015","LID Retrofit, Biofiltration",4949947,0
"Riverdale Avenue Green Street Project",34.092143,-118.233472,1,14,0.32,94.78,"12/1/2014","Green Street, Biofiltration",5e+05,71877
"Robinson Park Recreation Center",34.163964,-118.150673,0.25,0.25,0.001,0.19,"1/2/2019","Infiltration Well",7964259,0
"Rolling Hills LA Harbor NBRR",33.756043,-118.341276,NA,NA,NA,2011.418246,"12/28/2012","Other (specify)",0,0
"Rolling Hills Machado Lake NBRR",33.765073,-118.351208,NA,NA,NA,2455.427378,"12/28/2012","Other (specify)",0,0
"Rolling Hills Santa Monica Bay NBRR",33.747695,-118.348167,NA,NA,NA,1023.263487,"12/28/2012","Other (specify)",0,0
"Rondell Smart Park",34.146273,-118.697499,NA,NA,NA,17.90089,"11/21/2021","LID Retrofit, Biofiltration",3844145.25,0
"Rosemead Blvd Safety Enhancements and Beautification Project",34.104568,-118.073627,0.001,7.2,0.41,15.18,"1/1/2017","Green Street, Bioretention",2e+07,0
"San Fernando Regional Park",34.280317,-118.434416,1.37,942,24.87,808.59,"12/15/2023","Regional Infiltration Gallery",13152646,0
"San Gabriel City Yard",34.09222,-118.08765,0.01,2.9,0.11,12.51,"1/2/2017","LID Retrofit, Bioretention",0,0
"San Ramon Canyon Stormwater Flood Reduction Project",33.730345,-118.328869,NA,NA,NA,0,"10/15/2014","Other (specify)",15449194,40975.9
"Savage Canyon Landfill",33.977925,-118.021075,NA,NA,NA,24.053819,"1/1/2018","LID Retrofit, Bioretention",350000,155000
"Sigman St, et al",34.003956,-117.958266,NA,NA,NA,0.024296,"5/13/2015","Green Street, Bioretention",7500,4813.7
"Sigman St, et al",34.001075,-117.957511,NA,NA,NA,0.028214,"5/13/2015","Green Street, Bioretention",7500,4813.7
"Sigman St, et al",34.002069,-117.959698,NA,NA,NA,0.028214,"5/13/2015","Green Street, Bioretention",7500,4813.7
"Signal Hill Dog Park",33.813625,-118.179582,NA,NA,NA,0.911311,"10/30/2018","LID Retrofit, Bioretention",46200,3975
"Signal Hill Police Facility",33.80686,-118.172449,NA,NA,NA,14.485404,"1/16/2013","LID Retrofit, Bioretention",25000,7500
"South Garfield Avenue Street Improvements",34.03514,-118.130243,0.03,2.8,0.03,1.37,"10/4/2018","Green Street, Bioretention",9e+05,0
"St. Albans Project",34.11486,-118.09852,0,0,0,0,"12/19/2023","LID Retrofit, Bioretention",205390,0
"Stoneman Avenue Parking Lot",34.096097,-118.125483,0.02,1.39,0.11,0.21,"12/14/2018","Infiltration Well",150000,9200
"Street Improvements on Garfield",33.922485,-118.169101,NA,NA,NA,0,"9/14/2024","Green Street, Bioretention",150000,0
"Street Improvements on Garfield and Imperial 1",33.930262,-118.17347,NA,NA,NA,0.138008,"5/2/2021","Infiltration Well",150000,3500
"Street Improvements on Garfield and Imperial 2",33.93017,-118.167929,NA,NA,NA,0.138008,"5/2/2021","Infiltration Well",150000,3500
"Susan Rubio Zocalo Park and Civic Plaza",34.08534631,-117.9614063,NA,NA,NA,0,"12/4/2024","LID Retrofit, Bioretention",11070000,0
"Temple City Blvd Parking Lot",34.105287,-118.060862,0.01,0.23,0.01,1.04,"7/1/2017","LID Retrofit, Biofiltration",640000,0
"The Nature Center",33.959599,-118.282047,1.38,3.1,0.06,2.45,"9/29/2021","Green Street, Biofiltration",450000,20250
"The Signal Hill Library",33.796816,-118.169616,NA,NA,NA,2.333494,"8/7/2019","LID Retrofit, Bioretention",82200,11925
"Torrance Circle Project",33.83768,-118.388782,NA,NA,NA,271.13004,"3/18/2020","Regional Infiltration Gallery",407000,48000
"Town Center Plaza Improvement Project",33.946139,-118.084253,NA,NA,NA,0.030001,"6/16/2021","Other (specify)",175000,0
"Tranbarger St, et al",33.989243,-117.876195,NA,NA,NA,0.025663,"10/26/2015","Green Street, Bioretention",7500,4313.7
"Tranbarger St, et al",33.993906,-117.881318,NA,NA,NA,0.024908,"10/26/2015","Green Street, Bioretention",7500,4313.7
"Tranbarger St, et al",33.993893,-117.881408,NA,NA,NA,0.025663,"10/26/2015","Green Street, Bioretention",7500,4313.7
"Trancas Canyon Park BMP",34.039706,-118.845738,1.2,NA,NA,NA,"7/1/2010","Other - Biofiltration",NA,NA
"Uptown Whittier Parking Lot",33.980105,-118.038312,NA,NA,NA,1.129078,"3/29/2022","LID Retrofit, Biofiltration",9200000,1500
"Valencia Glen parking lot retrofit",34.395258,-118.547655,NA,NA,NA,5.886481,"4/15/15 7:00","LID Retrofit, Bioretention",97500,10318
"Valley Boulevard",34.040907,-117.983724,NA,NA,NA,0.529151,"11/10/2014","Green Street, Bioretention",7500,3658.5
"Valley Boulevard",34.041882,-117.985143,NA,NA,NA,0.529151,"11/10/2014","Green Street, Bioretention",7500,3658.5
"Valley Boulevard",34.041938,-117.985229,NA,NA,NA,0.529151,"11/10/2014","Green Street, Bioretention",7500,3658.5
"Valley Boulevard",34.04122,-117.984183,NA,NA,NA,0.529151,"11/10/2014","Green Street, Bioretention",7500,3658.5
"Valley Boulevard",34.03649,-117.977303,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Valley Boulevard",34.035632,-117.976061,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Valley Boulevard",34.036599,-117.977459,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Valley Boulevard",34.03581,-117.976321,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Valley Boulevard",34.036121,-117.976772,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Valley Boulevard",34.036752,-117.977687,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Valley Boulevard",34.03885,-117.98075,NA,NA,NA,0.527356,"11/10/2014","Green Street, Bioretention",7500,3658.5
"Valley Boulevard",34.03699,-117.978041,NA,NA,NA,0.599146,"11/10/2014","Green Street, Bioretention",7500,4236.2
"Van Nuys Great Street",34.18676,-118.41172,1,3.1,0,0,"6/15/2021","Green Street, Bioretention",2549694,116310
"Van Nuys Great Street",34.263901,-118.428834,1,100,0.16,241.89,"6/1/2018","Green Street, Biofiltration",3360000,529131
"Verdugo parking lot",34.16287,-118.33879,0.1,0.95,0,0,"11/1/2014","Other (specify)",0,1000
"Victory-Goodland Green Street",34.18676,-118.41172,1,126,0.13,22.79,"7/15/2021","Green Street, Bioretention",4234600,190560
"Western/Riverside Drive Bioretention",34.16186,-118.306776,0.003,0.56,0.04,2.88,"11/8/2018","LID Retrofit, Bioretention",75000,1908
"Whittier Greenway Trail Eastern Extension",33.946488,-118.019819,NA,NA,NA,0.497289,"4/19/2023","LID Retrofit, Bioretention",8124983,1500
"Wilderness Park Restoration Project",33.93639576,-118.1006398,NA,NA,NA,0,"11/1/2020","Other (specify)",5430000,66870
"Wildlife Road Storm Drain Improvements",34.013538,-118.79432,NA,NA,NA,NA,"6/30/2015","Other – Biofiltration",NA,NA
"Willmore Heritage Garden Biofiltration Swale",33.775504,-118.200922,NA,NA,NA,2.856216,"6/30/2021","LID Retrofit, Biofiltration",4e+05,0
"Willow Springs Park Wetland Restoration",33.807914,-118.177733,NA,NA,NA,24.405567,"6/30/2017","Other (specify)",0,10240
"Wingate Park 2",34.093495,-117.864257,NA,NA,NA,0.927912,"1/2/2016","LID Retrofit, Biofiltration",250000,12300
"Winter Canyon Distributed BMP",34.03651,-118.69826,NA,NA,NA,NA,"6/30/2015","Other – Biofiltration",NA,NA
"Woodman Avenue Median Retrofit",34.217863,-118.431104,1,120,2.04,441.04,"2/14/2016","Green Street, Biofiltration",3400000,427282
"Workman Mill Rd Phase II",34.043933,-117.993941,NA,NA,NA,13.626455,"1/27/2014","Green Street, Bioretention",23000,53137.6
