"Project Name","Latitude","Longitude","Project Footprint (Acres)","Drainage Area (Acres)","Actual Storage Capacity (Acre-feet)","Cumulative Volume Addressed (Acre-feet)","Actual Completion Date","Project Type","Capital Costs ($)","Cumulative O&M Costs ($)"
"Banna Park Improvement",34.095417,-117.858505,NA,NA,NA,0,"10/20/2020","LID Retrofit, Bioretention",120000,21470
"Bellflower Caruthers Park SW and Urban Runoff Capture Project, LCC WMP",33.878452,-118.111056,NA,NA,NA,25.116951,"3/31/2023","Regional Infiltration Gallery",4160000,72474.37
"Bellflower Caruthers Park SW and Urban Runoff Capture Project, LSGR WMP",33.880182,-118.109036,NA,NA,NA,73.640138,"3/31/2023","Regional Infiltration Gallery",8840000,72474.37
"Berkshire Creek Area Improvements Project",34.1939337,-118.1776534,0.5,0.5,5,0.11,"1/2/2020","Other (specify)",1300000,77139
"Bixby Park Bluff Improvements",33.763514,-118.168343,NA,NA,NA,2.47562,"11/30/2014","LID Retrofit, Bioretention",0,10240
"Bluff Cove bluff top restoration",33.791742,-118.405032,NA,NA,NA,23.511706,"4/1/2015","LID Retrofit, Bioretention",1175000,0
"Bolivar Park Stormwater Management Project",33.846087,-118.152593,NA,NA,NA,0,"5/2/2018","Regional Infiltration Gallery",1.1e+07,694154.53
"Bradley Green Alley",34.18676,-118.41172,1,3.1,0,0,"3/25/2021","Green Street, Bioretention",3143870,154006
"Brea Canyon Road Street Improvements",33.967839,-117.84725,NA,NA,NA,4.768694,"12/5/2017","Green Street, Biofiltration",199800,16000
"Broad Beach Biofiltration Project",34.034409,-118.8514,NA,12.3,NA,NA,"6/30/2015","Other – Biofiltration",NA,NA
"Broadway Neighborhood Stormwater Greenway",34.000055,-118.276019,1,290,1.63,555.76,"4/1/2016","Green Street, Bioretention",4626502,1144967
"C4",34.418362,-118.453748,NA,NA,NA,29.722928,"6/3/19 7:00","Regional Infiltration Gallery",3009946,3937
"Casaba Estates",33.774537,-118.325215,NA,NA,NA,75.014082,"1/1/2016","LID Retrofit, Bioretention",0,0
"Central Jefferson Green Alley Network",34.0109021,-118.2571779,1.5,11,0.34,12.71,"11/30/2023","Green Street, Biofiltration",3974478,59618
"Chakemco Street Improvement 1 (Bioretention)",33.940002,-118.179879,NA,NA,NA,0,"12/2/2020","Green Street, Bioretention",1e+05,8500
"Charter Oak Reservoir No. 4",34.095562,-117.847149,NA,NA,NA,6.18438,"1/2/2016","LID Retrofit, Biofiltration",2e+05,23470
"Circle Park Parking Lot Improvements",33.938464,-118.16791,NA,NA,NA,0.212042,"9/25/2019","Other (specify)",150000,3000
"City Hall Landscape Revitilization",34.087953,-117.88903,NA,NA,NA,1.042151,"3/2/2021","LID Retrofit, Biofiltration",250000,23640
"City Maintenance Yard Access Road",34.014426,-117.952625,NA,NA,NA,0.617473,"4/11/2022","LID Retrofit, Biofiltration",729970,0
"City of Glendale Transit Center Bir Retention BMP",34.12257,-118.257257,0.003,2.53,0.19,3.08,"7/1/2021","LID Retrofit, Bioretention",77000,1200
"Clean CA Permeable Alley Pavement Installation Project",34.14681019,-118.2485586,5,30,0,0,"6/30/2024","Other (specify)",8345145,0
"Colorado Lagoon Restoration Project (Phase 1A, 1B, 2B)",33.770111,-118.134115,NA,NA,NA,0,"5/31/2017","Other (specify)",19120000,0
"Community Rain Garden Project (2: Sheldon Reservoir 3 Coniston Garden)",34.148058,-118.129429,0.34,1.3,0.07,2.96,"1/2/2020","LID Retrofit, Bioretention",64187,4000
"Community Rain Garden Project (2: behind Behner Treatment plant, Sierra Madre)",34.161511,-118.146121,0.08,1,0.05,1.5,"1/2/2022","LID Retrofit, Bioretention",42000,0
"Compton Creek Stormwater and Urban Runoff Capture and Reuse Project at Earvin ""Magic"" Johnson Park",33.918951,-118.264248,126,354.51,7,365.68,"12/8/2020","Regional Treatment Facility",28323000,1512462.54
"Cougar Park",34.082509,-117.894163,NA,NA,NA,8.298072,"1/2/2016","LID Retrofit, Bioretention",3e+05,23470
"Cougar Park Parking Lot (LID)",34.081041,-117.892185,NA,NA,NA,0.180647,"1/13/2023","LID Retrofit, Bioretention",250000,470
"Covina Senior and Community Center",34.094157,-117.883058,NA,NA,NA,5.873714,"8/7/2019","LID Retrofit, Bioretention",2e+05,33470
"DMA-1: Chandler Ranch-Rolling Hills Country Club Regional Project",33.783356,-118.322744,NA,NA,NA,890.596594,"1/3/2018","Regional Infiltration Gallery",0,0
"DMA-2: Chandler Ranch-Rolling Hills Country Club",33.782448,-118.320598,NA,NA,NA,48.288387,"1/3/2018","Regional Infiltration Gallery",0,0
"DMA-3: Chandler Ranch-Rolling Hills Country Club Regional Project",33.783875,-118.320212,NA,NA,NA,4.493591,"1/3/2018","Regional Infiltration Gallery",0,0
"Daisy - Myrtle Roundabouts",33.867323,-118.182058,NA,NA,NA,1.82113,"1/1/2019","Green Street, Bioretention",0,0
"Deforest Wetland Restoration Project",33.8632,-118.194878,NA,NA,NA,5629.117192,"6/30/2018","Regional Infiltration Gallery",8300000,0
"Del Amo Blvd. at Lakewood Blvd.",33.847045,-118.140328,NA,NA,NA,1.525281,"7/1/2021","Green Street, Biofiltration",3e+05,10000
"Del Amo Boulevard Rehabilitation Project Phase 1",33.846178,-118.067746,NA,NA,NA,11.688325,"1/1/2017","Green Street, Bioretention",0,0
"Del Amo Boulevard Rehabilitation Project Phase 2",33.846299,-118.077757,NA,NA,NA,2.118633,"1/10/2020","Green Street, Bioretention",0,0
"Desiderio Neighborhood Park",34.143787,-118.164526,3.8,3.8,0.06,15.68,"1/2/2019","LID Retrofit, Biofiltration",2095000,0
"Distributed Drywells (East Glenoaks Blvd)",34.152999,-118.20281,0.003,0.46,0.15,0.45,"2/21/2019","Infiltration Well",75000,3025
"Distributed Drywells (East Palmer Avenue)",34.132646,-118.23976,0.003,1.8,0.12,0.29,"2/21/2019","Infiltration Well",75000,3025
"Distributed Drywells (San Fernando Road)",34.155904,-118.276763,0.003,4,0.55,1.48,"2/21/2019","Infiltration Well",75000,3025
"Duncan Ave Street Improvement",33.929083,-118.181023,NA,NA,NA,0.14531,"7/1/2019","LID Retrofit, Bioretention",0,0
"East Broadway Project",34.14683077,-118.2630035,0,0,0.08,0,"10/14/2022","LID Retrofit, Bioretention, Infiltration Well",322149,7200
"East LA Sustainable Medians Stormwater Capture Project",34.013762,-118.134065,7.6,3000,22,195.37,"12/20/2021","Infiltration Well",36840000,1217017
"Echo Park Lake Rehabilitation",34.073308,-118.260012,13,778,88,1099.58,"11/5/2013","Regional Treatment Facility",45896664,29831575
"Ed P. Reyes River Greenway",34.075737,-118.224271,1.13,135,1.15,419.1,"11/1/2013","Green Street, Biofiltration",4400000,703940
"El Centro Street Improvement Project",34.114824,-118.151754,0,0.1,0.01,0,"1/2/2018","LID Retrofit, Bioretention",0,1041.24
"El Dorado Duck Pond Restoration Project",33.80044177,-118.0966038,NA,NA,NA,0.097833,"6/17/2024","LID Retrofit, Harvest and Reuse",9e+06,0
"Elmer Avenue Green Street Phase ll",34.211076,-118.376872,1,45,0,0,"11/19/2013","Green Street, Bioretention",2530000,809531
"Elmer Paseo Green Alley",34.209814,-118.376878,1,20,0.15,162.88,"11/1/2013","Green Street, Bioretention",550000,175985
"Entradero Basin Enhancement",33.853384,-118.371843,NA,NA,NA,434.730955,"8/20/2015","Regional Infiltration Gallery",1900000,255000
"Entradero Basin Expansion",33.853384,-118.371843,NA,NA,NA,40.746061,"11/2/2023","Regional Infiltration Gallery",1800000,37653.89
"Fernwood Ave Park",33.928872,-118.217772,NA,NA,NA,0.09975,"10/14/2023","LID Retrofit, Bioretention",0,0
"Filterra at Imperial Blvd and LBB",33.930776,-118.211517,NA,NA,NA,3.766594,"7/1/2019","Green Street, Biofiltration",0,0
"Filterra at MLK Jr Blvd and LBB",33.937042,-118.213465,NA,NA,NA,3.766594,"7/1/2019","Green Street, Biofiltration",0,0
"Fire Station 62",34.040999,-118.129234,0.001,0.33,0.03,0.78,"9/30/2021","LID Retrofit, Biofiltration",5128000,0
